"AreaName","ReportTime","TargetTime","DailyWeather__SubAreaName","DailyWeather__DetailWeather__TargetTime","DailyWeather__DetailWeather__WeatherInfo","DailyWeather__DetailWeather__WindInfo","DailyWeather__DetailWeather__WaveInfo","RainyRate__SubAreaName","RainyRate__DetailRainy__TargetTime","RainyRate__DetailRainy__Percent","RainyRate__DetailRainy__Condition","Temperature__SubAreaName","Temperature__DetailTemperature__MinimumTemperature","Temperature__DetailTemperature__DaytimeTemperature"
"群馬県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","南部","2025-02-17T02:00:00","晴れ時々くもり","北西の風　やや強く","null","南部","2025-02-17T03:00:00","10","雨か雪","前橋","-2","15"
"群馬県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","南部","2025-02-17T15:00:00","晴れ時々くもり","北西の風","null","南部","2025-02-17T09:00:00","10","雪","みなかみ","-4","8"
"群馬県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","南部","2025-02-18T15:00:00","晴れ時々くもり","北西の風","null","南部","2025-02-17T15:00:00","10","雪","","",""
"群馬県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","北部","2025-02-17T02:00:00","くもり後雪","北の風","null","南部","2025-02-17T21:00:00","10","雪","","",""
"群馬県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","北部","2025-02-17T15:00:00","雪時々止む","北の風","null","南部","2025-02-18T03:00:00","10","雪","","",""
"群馬県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","北部","2025-02-18T15:00:00","雪時々止む","北西の風","null","南部","2025-02-18T09:00:00","10","雪","","",""
"群馬県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","北部","2025-02-17T03:00:00","50","雪","","",""
"群馬県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","北部","2025-02-17T09:00:00","50","雪","","",""
"群馬県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","北部","2025-02-17T15:00:00","50","雪","","",""
"群馬県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","北部","2025-02-17T21:00:00","50","雪","","",""
"群馬県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","北部","2025-02-18T03:00:00","50","雪","","",""
"群馬県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","北部","2025-02-18T09:00:00","50","雪","","",""
"愛知県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","西部","2025-02-17T02:00:00","くもり時々晴れ","北西の風　やや強く　海上　では　北西の風　強く","１メートル　後　１．５メートル","西部","2025-02-17T03:00:00","30","雨か雪","名古屋","0","11"
"愛知県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","西部","2025-02-17T15:00:00","くもり時々晴れ","北西の風　やや強く　海上　では　北西の風　強く","１メートル","西部","2025-02-17T09:00:00","20","雪","豊橋","2","12"
"愛知県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","西部","2025-02-18T15:00:00","くもり時々晴れ","北西の風","１メートル　後　０．５メートル","西部","2025-02-17T15:00:00","20","雪か雨","","",""
"愛知県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","東部","2025-02-17T02:00:00","くもり時々晴れ","北西の風　やや強く　海上　では　北西の風　強く","２メートル　後　２．５メートル　ただし　内海　では　１メートル　後　１．５メートル","西部","2025-02-17T21:00:00","20","雪か雨","","",""
"愛知県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","東部","2025-02-17T15:00:00","くもり時々晴れ","北西の風　やや強く　海上　では　北西の風　強く","２メートル　ただし　内海　では　１メートル","西部","2025-02-18T03:00:00","30","雪か雨","","",""
"愛知県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","東部","2025-02-18T15:00:00","晴れ時々くもり","西の風","２メートル　後　１．５メートル　ただし　内海　では　１メートル　後　０．５メートル","西部","2025-02-18T09:00:00","20","雪","","",""
"愛知県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","東部","2025-02-17T03:00:00","30","雪か雨","","",""
"愛知県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","東部","2025-02-17T09:00:00","20","雪","","",""
"愛知県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","東部","2025-02-17T15:00:00","20","雪","","",""
"愛知県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","東部","2025-02-17T21:00:00","20","雪","","",""
"愛知県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","東部","2025-02-18T03:00:00","30","雪","","",""
"愛知県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","東部","2025-02-18T09:00:00","20","雪","","",""
"福井県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","嶺北","2025-02-17T02:00:00","雪か雨","北西の風　やや強く　海上　では　西の風　強く","３メートル　後　４メートル","嶺北","2025-02-17T03:00:00","80","雪か雨","福井","0","8"
"福井県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","嶺北","2025-02-17T15:00:00","雪","北西の風　やや強く　海上　では　北西の風　強く","４メートル","嶺北","2025-02-17T09:00:00","80","雪","敦賀","2","8"
"福井県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","嶺北","2025-02-18T15:00:00","雪時々止む","北西の風　やや強く　後　北の風","４メートル　後　３メートル　うねり　を伴う","嶺北","2025-02-17T15:00:00","70","雪","大野","-2","5"
"福井県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","嶺南","2025-02-17T02:00:00","雪か雨","北西の風　やや強く　海上　では　西の風　強く","３メートル　後　４メートル","嶺北","2025-02-17T21:00:00","80","雪","","",""
"福井県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","嶺南","2025-02-17T15:00:00","雪","北西の風　やや強く　海上　では　北西の風　強く","４メートル","嶺北","2025-02-18T03:00:00","80","雪","","",""
"福井県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","嶺南","2025-02-18T15:00:00","雪時々止む","北西の風　やや強く　後　北の風","４メートル　後　３メートル　うねり　を伴う","嶺北","2025-02-18T09:00:00","90","雪","","",""
"福井県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","嶺南","2025-02-17T03:00:00","60","雪か雨","","",""
"福井県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","嶺南","2025-02-17T09:00:00","80","雪か雨","","",""
"福井県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","嶺南","2025-02-17T15:00:00","60","雪","","",""
"福井県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","嶺南","2025-02-17T21:00:00","70","雪か雨","","",""
"福井県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","嶺南","2025-02-18T03:00:00","90","雪か雨","","",""
"福井県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","嶺南","2025-02-18T09:00:00","90","雪","","",""
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","内陸","2025-02-17T02:00:00","雪一時雨","西の風　後　やや強く","null","内陸","2025-02-17T03:00:00","50","雪か雨","盛岡","-4","7"
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","内陸","2025-02-17T15:00:00","くもり","西の風　やや強く","null","内陸","2025-02-17T09:00:00","40","雪","宮古","-2","11"
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","内陸","2025-02-18T15:00:00","くもり一時雪","西の風","null","内陸","2025-02-17T15:00:00","20","雪","大船渡","-1","10"
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","沿岸北部","2025-02-17T02:00:00","雪時々止む","西の風　後　北西の風　やや強く　海上　では　北西の風　非常に強く","１メートル　後　３メートル","内陸","2025-02-17T21:00:00","20","雪","二戸","-5","6"
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","沿岸北部","2025-02-17T15:00:00","晴れ時々くもり","西の風　やや強く　海上　では　はじめ　西の風　非常に強く","３メートル　後　２メートル","内陸","2025-02-18T03:00:00","20","雪","一関","-2","8"
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","沿岸北部","2025-02-18T15:00:00","くもり時々晴れ","西の風","２メートル","内陸","2025-02-18T09:00:00","30","雪","","",""
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","沿岸南部","2025-02-17T02:00:00","くもり時々雪か雨","西の風　後　北西の風　やや強く　海上　では　北西の風　非常に強く","１メートル　後　３メートル","沿岸北部","2025-02-17T03:00:00","50","雪か雨","","",""
